Polymer,Polymer CAS,Polymer SMILES,Solvent,Solvent CAS,Solvent SMILES,Mw(Da),PDI,ϕ,w,P(Mpa),CP(°C),1-Phase,Ref.
polystyrene,9003-53-6,*C(C*)c1ccccc1,pentyl acetate,628-63-7,CCCCCOC(=O)C,1971000,1.26,0.06114,0.0724,0.1,236.6,negative,doi.org/10.1016/0032-3861(95)91454-F
polystyrene,9003-53-6,*C(C*)c1ccccc1,propionitrile,107-12-0,CCC#N,8000,1.09,0.15162,0.19,2.66,-3.21,positive,doi.org/10.1021/ma9517308
polystyrene,9003-53-6,*C(C*)c1ccccc1,"1,1,1,3,3,3-hexadeutero-2-propanone",666-52-4,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],13500,1.06,0.11126,0.131,1.13,72.68,positive,doi.org/10.1021/ma00107a011
polystyrene,9003-53-6,*C(C*)c1ccccc1,2-propanone,67-64-1,CC(=O)C,11500,1.07,0.06934,0.09,0.1,-28,positive,doi.org/10.1063/1.1143329
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,25000,1.06,0.122,NaN,0.1,7.12,positive,doi.org/10.1039/B301190A
polystyrene,9003-53-6,*C(C*)c1ccccc1,acetaldehyde,75-07-0,CC=O,4140,1.03,0.17331,0.2201,2.59,35.97,positive,"See 1997DES in ISBN: 9781420067989, doi.org/10.1002/(SICI)1099-0488(199703)35:4<631::AID-POLB11>3.0.CO;2-H"
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,142100,1.09,0.1148,0.1488,0.1,20.1,positive,See 1986KRU in ISBN: 9781420067989
polystyrene,9003-53-6,*C(C*)c1ccccc1,nitroethane-d5,57817-88-6,[2H]C([2H])([2H])C([2H])([2H])[N+](=O)[O-],90100,1.04,0.0848,0.0848,2.57,66.92,positive,doi.org/10.1006/jcht.1999.0607
polystyrene,9003-53-6,*C(C*)c1ccccc1,ethyl acetate,141-78-6,CCOC(=O)C,100000,1.06,0.0889,0.102,0.1,164.6,negative,doi.org/10.1021/ma00015a024
polystyrene,9003-53-6,*C(C*)c1ccccc1,dodecadeuterocyclohexane,1735-17-7,[2H]C1([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H],123000,1.06,0.123,NaN,0.1,24.76,positive,doi.org/10.1039/B301190A
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,17500,1.06,0.11406,0.15,74.4,21.05,positive,doi.org/10.1002/macp.1994.021950233
polystyrene,9003-53-6,*C(C*)c1ccccc1,nitroethane,79-24-3,CC[N+](=O)[O-],13500,1.06,0.0714,0.0714,4.17,4.22,positive,doi.org/10.1006/jcht.1999.0607
polystyrene,9003-53-6,*C(C*)c1ccccc1,acetaldehyde,75-07-0,CC=O,4140,1.03,0.1094,0.1419,3.14,140,negative,"See 1997DES in ISBN: 9781420067989, doi.org/10.1002/(SICI)1099-0488(199703)35:4<631::AID-POLB11>3.0.CO;2-H"
polystyrene,9003-53-6,*C(C*)c1ccccc1,"1,1,1,3,3,3-hexadeutero-2-propanone",666-52-4,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],13500,1.06,0.19786,0.229,0.39,72.9,positive,doi.org/10.1021/ma00107a011
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,20200,1.06,0.1977,NaN,0.1,25.73,positive,doi.org/10.1063/1.439127
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,280000,4.83,0.1078,0.14005,0.1,25.6,positive,See 1984GIL in ISBN: 9781420067989
polystyrene,9003-53-6,*C(C*)c1ccccc1,propionitrile,107-12-0,CCC#N,25000,1.06,0.17688,0.22,3.24,138.95,negative,doi.org/10.1021/ma9517308
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,1560000,1.03,0.0234,NaN,0.1,30.49,positive,doi.org/10.1103/PhysRevA.18.2683
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,17500,1.06,0.11318,0.14889,80,21.24,positive,doi.org/10.1002/macp.1994.021950233
polystyrene,9003-53-6,*C(C*)c1ccccc1,acetaldehyde,75-07-0,CC=O,4140,1.03,0.14593,0.187,0.79,47.44,positive,"See 1997DES in ISBN: 9781420067989, doi.org/10.1002/(SICI)1099-0488(199703)35:4<631::AID-POLB11>3.0.CO;2-H"
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,16100,1.06,0.05859,0.0786,43.44,19.17,positive,doi.org/10.1063/1.464440
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,31600,1.09,0.06592,0.0882,10.05,28.37,positive,doi.org/10.1016/S0378-3812(97)00302-6
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,16100,1.06,0.05859,0.0786,67.67,19.4,positive,doi.org/10.1063/1.464440
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,400000,1.06,0.076,NaN,0.1,25.93,positive,doi.org/10.1039/B301190A
polystyrene,9003-53-6,*C(C*)c1ccccc1,tert-butyl acetate,540-88-5,CC(=O)OC(C)(C)C,100000,1.06,0.12886,0.152,0.1,-17.5,positive,doi.org/10.1021/ma00015a024
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,101400,1.09,0.08164,0.107,5.1,242.95,negative,doi.org/10.1016/S0896-8446(01)00144-9
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,610000,1.08,0.00744,0.01,0.1,28,positive,doi.org/10.1021/ma00015a024
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,200000,1.02,0.0436,NaN,0.1,23.77,positive,doi.org/10.1063/1.430349
polystyrene,9003-53-6,*C(C*)c1ccccc1,"1,1,1,3,3,3-hexadeutero-2-propanone",666-52-4,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],13500,1.06,0.17549,0.204,2.77,57.41,positive,doi.org/10.1021/ma00107a011
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,670000,1.1,0.01372,0.01871,0.1,60.66,positive,doi.org/10.1021/ma60032a020
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,1560000,1.03,0.2096,NaN,0.1,23.5,positive,doi.org/10.1103/PhysRevA.18.2683
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,400000,1.06,0.004,NaN,0.1,24.11,positive,doi.org/10.1039/B301190A
polystyrene,9003-53-6,*C(C*)c1ccccc1,nitroethane,79-24-3,CC[N+](=O)[O-],90100,1.04,0.0519,0.0519,2.69,42.59,positive,doi.org/10.1006/jcht.1999.0607
polystyrene,9003-53-6,*C(C*)c1ccccc1,ethyl acetate,141-78-6,CCOC(=O)C,600000,1.1,0.00172,0.002,0.1,154.5,negative,doi.org/10.1021/ma00015a024
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,2000000,1.3,0.038,NaN,0.1,29.71,positive,doi.org/10.1039/B301190A
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,346000,1.65,0.17304,0.22,0.1,24.4,positive,doi.org/10.1002/macp.1965.020880115
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,239000,2.78,0.0857,NaN,0.1,26.19,positive,doi.org/10.1103/PhysRevE.55.3159
polystyrene,9003-53-6,*C(C*)c1ccccc1,nitroethane,79-24-3,CC[N+](=O)[O-],129200,1.03,0.0812,0.0812,1.38,49.88,positive,doi.org/10.1006/jcht.1999.0607
polystyrene,9003-53-6,*C(C*)c1ccccc1,nitroethane,79-24-3,CC[N+](=O)[O-],129200,1.03,0.0645,0.0645,0.37,50.29,positive,doi.org/10.1006/jcht.1999.0607
polystyrene,9003-53-6,*C(C*)c1ccccc1,nitroethane,79-24-3,CC[N+](=O)[O-],13500,1.06,0.1801,0.1801,0.37,6.39,positive,doi.org/10.1006/jcht.1999.0607
polystyrene,9003-53-6,*C(C*)c1ccccc1,trans-decahydronaphthalene,493-02-7,C1CCC2CCCCC2C1,270000,2,0.128,NaN,50,14.65,positive,"doi.org/10.1002/macp.200390038, doi.org/10.1016/j.chemphys.2003.11.002"
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,34900,1.06,0.09767,0.1292,8.24,33.58,positive,doi.org/10.1063/1.464440
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,1560000,1.03,0.0881,NaN,0.1,29.5,positive,doi.org/10.1103/PhysRevA.18.2683
polystyrene,9003-53-6,*C(C*)c1ccccc1,2-propanone,67-64-1,CC(=O)C,8000,1.09,0.17693,0.222,0.72,-19.96,positive,doi.org/10.1021/ma00107a011
polystyrene,9003-53-6,*C(C*)c1ccccc1,acetaldehyde,75-07-0,CC=O,4140,1.03,0.13206,0.17,0.2,47.49,positive,"See 1997DES in ISBN: 9781420067989, doi.org/10.1002/(SICI)1099-0488(199703)35:4<631::AID-POLB11>3.0.CO;2-H"
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclopentane,287-92-3,C1CCCC1,98900,1.02,0.07097,0.0972,0.1,172.7,negative,doi.org/10.1002/pen.760330806
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,31600,1.09,0.09681,0.1281,3.05,30.73,positive,doi.org/10.1016/S0378-3812(97)00302-6
polystyrene,9003-53-6,*C(C*)c1ccccc1,dodecadeuterocyclohexane,1735-17-7,[2H]C1([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C([2H])([2H])C1([2H])[2H],13200000,1.13,0.015,NaN,0.1,36.75,positive,doi.org/10.1039/B301190A
polystyrene,9003-53-6,*C(C*)c1ccccc1,methylcyclohexane,108-87-2,CC1CCCCC1,46400,1.06,0.0925,NaN,0.1,39.43,positive,doi.org/10.1063/1.439127
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,171300,1.96,0.0425,NaN,0.1,25.7,positive,doi.org/10.1002/(SICI)1521-3935(19990801)200:8<1889::AID-MACP1889>3.0.CO;2-A
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,346000,1.65,0.00386,0.0052,0.1,22,positive,doi.org/10.1002/macp.1965.020880115
polystyrene,9003-53-6,*C(C*)c1ccccc1,cyclohexane,110-82-7,C1CCCCC1,346000,1.65,0.14005,0.18,0.1,25.4,positive,doi.org/10.1002/macp.1965.020880115
